순번,의료기관명,의료기관종,의료기관주소(도로명),의료기관전화번호,등록기준일,읍면동명
1,밝은한방병원,병원,세종특별자치시 한누리대로 2264 씨티오브드림 4~5층6(일부)층 (대평동),044-867-9300,2022-11-15,대평동
2,세종경희한방병원,병원,세종특별자치시 대평4길 17 센트럴테라스 4 5층 (대평동),044-414-9599,2022-11-15,대평동
3,세종충남대학교병원,병원,세종특별자치시 보듬7로 20 세종충남대학교병원 (도담동),044-995-4101,2022-11-15,도담동
4,오케이한방병원,병원,세종특별자치시 한누리대로 331 2층3층 (301~315)호 (나성동 SR파크센텀),044-1668-0090,2022-11-15,나성동
5,트리니움여성병원,병원,세종특별자치시 한누리대로 1934 메인타워 (반곡동),044-270-0114,2022-11-15,반곡동
6,의료법인 영제 의료재단 엔케이세종병원,병원,세종특별자치시 한누리대로 161 세종시 NK리움힐 상가 1~8층 (나성동),044-850-7700,2022-11-15,나성동
7,단국대학교 치과대학 세종치과병원,병원,세종특별자치시 도움8로 87 (어진동 단국빌딩),044-410-5000,2022-11-15,어진동
8,의료법인은혜의료재단 은혜기독병원,병원,세종특별자치시 연서면 효교로 135-30,044-868-5004,2022-11-15,연서면
9,운주산성요양병원,병원,세종특별자치시 전동면 모산고개길 96-25,1544-0240,2022-11-15,전동면
10,세종요양병원,병원,세종특별자치시 장군면 구석뜸길 140,044-881-1711,2022-11-15,장군면
11,한마음효요양병원,병원,세종특별자치시 조치원읍 금이로 53-11,044-863-7200,2022-11-15,조치원읍
12,조치원노인전문병원,병원,세종특별자치시 연서면 도신고복로 789-17,044-862-7607,2022-11-15,연서면
13,의료법인 선은의료재단 중앙요양병원,병원,세종특별자치시 조치원읍 섭골길 37,044-865-0066,2022-11-15,조치원읍
14,세종특별자치시보건소,보건소,세종특별자치시 조치원읍 대첩로 32 세종특별자치시보건소,044-301-2000,2022-11-15,조치원읍
15,남부통합보건지소,보건지소,세종특별자치시 새롬로 14 3층 (새롬동),044-301-2400,2022-11-15,새롬동
16,부강면보건지소,보건지소,세종특별자치시 부강면 부강5길 38 (부강면사무소),044-301-2232,2022-11-15,부강면
17,소정면보건지소,보건지소,세종특별자치시 소정면 소정구길 201 소정면보건지소,044-301-2292,2022-11-15,소정면
18,연동면보건지소,보건지소,세종특별자치시 연동면 장욱진로 7 연동면 복합커뮤니티센터,044-301-2223,2022-11-15,연동면
19,전의면보건지소,보건지소,세종특별자치시 전의면 만세길 20-12,044-301-2273,2022-11-15,전의면
20,연기면보건지소,보건지소,세종특별자치시 연기면 당산로 81,044-301-2212,2022-11-15,연기면
21,금남면보건지소,보건지소,세종특별자치시 금남면 용포로 59,044-301-2243,2022-11-15,금남면
22,전동면보건지소,보건지소,세종특별자치시 전동면 운주산로 386,044-301-2282,2022-11-15,전동면
23,연서면보건지소,보건지소,세종특별자치시 연서면 대첩로 238,044-301-2262,2022-11-15,연서면
24,장군면보건지소,보건지소,세종특별자치시 장군면 장척로 398-3,044-301-2252,2022-11-15,장군면
25,와촌보건진료소,보건진료소,세종특별자치시 연서면 용연로 635,044-863-4700,2022-11-15,연서면
26,쌍류보건진료소,보건진료소,세종특별자치시 연서면 도신고복로 427,044-863-0176,2022-11-15,연서면
27,송곡보건진료소,보건진료소,세종특별자치시 전동면 금이로 184,044-867-1665,2022-11-15,전동면
28,응암보건진료소,보건진료소,세종특별자치시 연동면 송암로 246 (응암보건진료소),044-864-9202,2022-11-15,연동면
29,황용보건진료소,보건진료소,세종특별자치시 금남면 금남구즉로 487,044-867-8865,2022-11-15,금남면
30,양곡보건진료소,보건진료소,세종특별자치시 전의면 양지편길 17 (양곡보건진료소),044-867-3471,2022-11-15,전의면
31,송학보건진료소,보건진료소,세종특별자치시 장군면 황미창말길 5-4 (송학보건진료소),044-852-0564,2022-11-15,장군면
32,세종이지항외과의원,의원,세종특별자치시 한누리대로 331 3층 320~323호 (나성동 SR파크센텀),044-863-6131,2022-11-15,나성동
33,서울봄빛안과의원,의원,세종특별자치시 한누리대로 265 명동프라자 603~607호 (나성동),044-865-1400,2022-11-15,나성동
34,서울아산재활의학과의원,의원,세종특별자치시 절재로 194 중앙타운 4층 406호 (어진동),044-715-7591,2022-11-15,어진동
35,세종바른연합의원,의원,세종특별자치시 한누리대로 1820 3층 305-1~2306-1~2307308호 (반곡동),044-867-1110,2022-11-15,반곡동
36,송창헌내과의원,의원,세종특별자치시 한누리대로 275 형성프라자 405406407호 (나성동),044-866-0966,2022-11-15,나성동
37,세종장사랑내과의원,의원,세종특별자치시 보듬3로 158 아름메디컬센터 4층 401~405호 (아름동),044-715-7520,2022-11-15,아름동
38,세종톡스앤필의원,의원,세종특별자치시 한누리대로 253 에스빌딩 501호 (나성동),044-414-9200,2022-11-15,나성동
39,세종스노우의원,의원,세종특별자치시 나성북로 30 퍼스트원 550~562호 (나성동),044-903-3090,2022-11-15,나성동
40,클레르피부과의원,의원,세종특별자치시 한누리대로 1820 왕관빌딩 401402403-1호 (반곡동),044-715-5910,2022-11-15,반곡동
41,마인드랩공간정신건강의학과의원,의원,세종특별자치시 한누리대로 265 명동프라자 406~407호 (나성동),044-715-5670,2022-11-15,나성동
42,세종바른유외과의원,의원,세종특별자치시 한누리대로 169 세종행복타워 503~505호 (나성동),044-998-7575,2022-11-15,나성동
43,삼성밸런스이비인후과의원,의원,세종특별자치시 아름서1길 13-12 세종 제이디빌딩 201202호 (아름동),044-715-7517,2022-11-15,아름동
44,오케이마취통증의학과의원,의원,세종특별자치시 조치원읍 새내8길 7 4 층,044-867-7575,2022-11-15,조치원읍
45,세종수이비인후과의원,의원,세종특별자치시 해밀3로 43 스카이드림 501502호 (해밀동),044-715-7730,2022-11-15,해밀동
46,삼성미의원,의원,세종특별자치시 도움1로 108 몰리브(Mallive) 4층 405~406호 (종촌동),044-868-7570,2022-11-15,종촌동
47,세종스카이내과의원,의원,세종특별자치시 해밀3로 43 스카이드림 6층 602603604호 (해밀동),044-715-7320,2022-11-15,해밀동
48,서울뷰의원세종점,의원,세종특별자치시 나성로 96 더센트럴 519호 (나성동),044-715-5199,2022-11-15,나성동
49,세종365의원,의원,세종특별자치시 한누리대로 1958 법조타운A 4층 401~410호 (소담동),1661-3561,2022-11-15,소담동
50,허브연합내과의원,의원,세종특별자치시 해밀3로 51 스카이허브 303304호 (해밀동),044-715-7588,2022-11-15,해밀동
51,서울어반내과의원,의원,세종특별자치시 나성로 96 더센트럴 5층 520~526호 (나성동),044-272-3800,2022-11-15,나성동
52,삼성필성형외과의원,의원,세종특별자치시 한누리대로 265 명동프라자 3층 (나성동),044-867-1233,2022-11-15,나성동
53,리더본재활의학과의원,의원,세종특별자치시 나성북로 30 퍼스트원 6층 648호~655호 (나성동),044-865-0700,2022-11-15,나성동
54,블리비의원,의원,세종특별자치시 한누리대로 275 형성프라자 301호~303호 (나성동),1833-7390,2022-11-15,나성동
55,연세미니성형외과의원,의원,세종특별자치시 한누리대로 273 새롬씨티 502호 503호 (나성동),044-867-3655,2022-11-15,나성동
56,크리미의원,의원,세종특별자치시 다정중앙로 46 2층 (다정동),044-715-7750,2022-11-15,다정동
57,세종시청점오라클피부과의원,의원,세종특별자치시 한누리대로 2143 금강시티타워 204~206호 (보람동),044-715-7716,2022-11-15,보람동
58,굿제이산부인과의원,의원,세종특별자치시 절재로 194 중앙타운 303호 (어진동),044-715-7677,2022-11-15,어진동
59,더블유세종어진건강의원,의원,세종특별자치시 한누리대로 350 뱅크빌딩 4층 401호 405호 (어진동),1800-6927,2022-11-15,어진동
60,센텀비뇨기과의원,의원,세종특별자치시 한누리대로 2149 엔젤타워 404호~407호 (보람동),044-867-6553,2022-11-15,보람동
61,하늘소아청소년과의원,의원,세종특별자치시 한누리대로 1820 왕관빌딩 314-2315404405-1호 (반곡동),044-867-5151,2022-11-15,반곡동
62,세종조은내과의원,의원,세종특별자치시 한누리대로 1828 시드니블루 401호402호 (반곡동),044-715-7570,2022-11-15,반곡동
63,노블클라쎄산부인과의원,의원,세종특별자치시 한누리대로 2165 호려울마을7단지 근린생활시설 752동 A302~308-1 A315~A320호 (보람동),044-866-3575,2022-11-15,보람동
64,유웰비뇨의학과의원,의원,세종특별자치시 한누리대로 265 명동프라자 502-504호 (나성동),1588-8163,2022-11-15,나성동
65,세미이비인후과의원,의원,세종특별자치시 한누리대로 1824 301~303307~308호 (반곡동),044-715-7560,2022-11-15,반곡동
66,따뜻한 정신건강의학과의원,의원,세종특별자치시 한누리대로 2257 판타지타워 304호 (대평동),044-715-7507,2022-11-15,대평동
67,웰가정의학과의원,의원,세종특별자치시 조치원읍 도원2로 39 3층,044-868-7507,2022-11-15,조치원읍
68,이도내과의원,의원,세종특별자치시 한누리대로 2143 금강시티타워 403~404호 (보람동),044-905-2500,2022-11-15,보람동
69,세종코아이비인후과의원,의원,세종특별자치시 마음로 272-4 고운메디프라자 201호 (고운동),044-868-7585,2022-11-15,고운동
70,우리메디컬의원,의원,세종특별자치시 고운서길 19 세종 스마트큐브Ⅰ 301~303305~308호 (고운동),044-868-5375,2022-11-15,고운동
71,세종맑은이비인후과의원,의원,세종특별자치시 도움3로 105-7 메디케어빌딩 301호 (종촌동),044-862-2358,2022-11-15,종촌동
72,로뎀소아청소년과의원,의원,세종특별자치시 다정중앙로 52 페스티발2 402~404호 (다정동),044-863-0033,2022-11-15,다정동
73,종촌제일연합내과의원,의원,세종특별자치시 도움1로 106 메가시티 610615-1호 (종촌동),044-715-7511,2022-11-15,종촌동
74,세종이안과의원,의원,세종특별자치시 새롬중앙로 62-15 해피라움W 403404호 (새롬동),044-868-7228,2022-11-15,새롬동
75,세종김연수피부과의원,의원,세종특별자치시 새롬중앙로 64 세종영광프라자 4층 402호 (새롬동),044-866-7534,2022-11-15,새롬동
76,세종탑재활의학과의원,의원,세종특별자치시 한누리대로 2018 사이언스타운 501호 506~508호호 (소담동),044-864-1620,2022-11-15,소담동
77,수앤미통증의학과의원,의원,세종특별자치시 한누리대로 583 도담센트럴프라자 4층 401402호 (도담동),044-865-1174,2022-11-15,도담동
78,정석이비인후과의원,의원,세종특별자치시 조치원읍 새내로 97 조치원메디컬센터 502호,044-715-7579,2022-11-15,조치원읍
79,유성연합의원,의원,세종특별자치시 조치원읍 새내로 132,044-868-6617,2022-11-15,조치원읍
80,세종서울정형외과의원,의원,세종특별자치시 한누리대로 492 청암빌딩 403404407호 (어진동),044-862-8833,2022-11-15,어진동
81,비쥬얼피부과의원,의원,세종특별자치시 한누리대로 273 새롬씨티 3층 302303304호 (나성동),044-715-7585,2022-11-15,나성동
82,이화메디산부인과의원,의원,세종특별자치시 한누리대로 265 명동프라자 501호 (나성동),044-866-3399,2022-11-15,나성동
83,더공감정신건강의학과의원,의원,세종특별자치시 한누리대로 2135 스타힐타워1 304호 (보람동),044-715-7678,2022-11-15,보람동
84,다정서문365정형외과의원,의원,세종특별자치시 다정중앙로 52 페스티발2 605~614호 (다정동),044-865-1039,2022-11-15,다정동
85,참좋은서울아산내과의원,의원,세종특별자치시 다정중앙로 58 다정메디프라자 5층 502~505호 (다정동),044-866-5900,2022-11-15,다정동
86,김예진내과의원,의원,세종특별자치시 한누리대로 589 해피라움7 404405702-1702-2호 (도담동),044-862-8875,2022-11-15,도담동
87,핑크유외과의원,의원,세종특별자치시 세종로 1229 스타플레이스 4층 403404호 (고운동),044-417-6688,2022-11-15,고운동
88,세종뷰티의원,의원,세종특별자치시 한누리대로 492 청암빌딩 405406호 (어진동),044-863-0492,2022-11-15,어진동
89,잇츠미의원,의원,세종특별자치시 한누리대로 253 에스빌딩 302~304호 (나성동),044-867-1108,2022-11-15,나성동
90,윤정형외과의원,의원,세종특별자치시 만남로3길 7 지하1층 2~3층 (고운동),044-862-2827,2022-11-15,고운동
91,세종성모내과의원,의원,세종특별자치시 한누리대로 492 청암빌딩 401402호 (어진동),044-905-0606,2022-11-15,어진동
92,서문365정형외과의원,의원,세종특별자치시 한누리대로 2281 SM메디컬센터 3층405~409411412506~512호 (대평동),044-868-1039,2022-11-15,대평동
93,세종고려정형외과의원,의원,세종특별자치시 한누리대로 2143 금강시티타워 303~306호 (보람동),044-865-3888,2022-11-15,보람동
94,다정소아청소년과의원,의원,세종특별자치시 다정북로 109 204205호 (다정동 가온마을3단지),044-998-7711,2022-11-15,다정동
95,코끼리마취통증의학과의원,의원,세종특별자치시 보듬3로 150 아름 행복타워 502호 (아름동),044-862-7505,2022-11-15,아름동
96,세종김안과의원,의원,세종특별자치시 보듬3로 150 아름 행복타워 5층 501502503호 (아름동),044-864-2360,2022-11-15,아름동
97,서울아산내과의원,의원,세종특별자치시 조치원읍 새내로 97 2층 7층,044-862-7559,2022-11-15,조치원읍
98,서울굿닥터(아름)의원,의원,세종특별자치시 보듬3로 95 해피라움3 301302208307호 (아름동),044-867-9111,2022-11-15,아름동
99,세종제일산부인과의원,의원,세종특별자치시 한누리대로 2265 세종메디컬센터 5층 6층층 (대평동),044-866-3582,2022-11-15,대평동
100,소망안과의원,의원,세종특별자치시 한누리대로 2018 사이언스타운 307308호 (소담동),044-868-8224,2022-11-15,소담동
101,다정내과의원,의원,세종특별자치시 다정중앙로 57 다정센타프라자 306307호 (다정동),044-864-1911,2022-11-15,다정동
102,라비에피부과의원,의원,세종특별자치시 다정중앙로 51 더다정빌딩 501502503호 (다정동),044-864-5005,2022-11-15,다정동
103,도란도란소아청소년과의원,의원,세종특별자치시 다정중앙로 57 다정센타프라자 303호 (다정동),044-863-3275,2022-11-15,다정동
104,아름누리소아청소년과의원,의원,세종특별자치시 한누리대로 2022 아이콤스타타워 402403호 (소담동),044-865-7522,2022-11-15,소담동
105,세종숲정신건강의학과의원,의원,세종특별자치시 도움1로 106 메가시티 3층 301호 (종촌동),044-865-7560,2022-11-15,종촌동
106,서산부인과의원,의원,세종특별자치시 보듬3로 150 아름 행복타워 34층 (아름동),044-905-3575,2022-11-15,아름동
107,하나로내과의원,의원,세종특별자치시 조치원읍 새내로 102 12층,044-862-5900,2022-11-15,조치원읍
108,세종우리의원,의원,세종특별자치시 다정중앙로 52 페스티발2 510511512513호 (다정동),044-867-1170,2022-11-15,다정동
109,연세정담정신건강의학과의원,의원,세종특별자치시 한누리대로 499 세종포스트빌딩 201-3301호 (어진동),044-866-3824,2022-11-15,어진동
110,블랑피부과의원,의원,세종특별자치시 절재로 194 중앙타운 301호302(일부)호 (어진동),044-905-1100,2022-11-15,어진동
111,코끼리소아청소년과의원,의원,세종특별자치시 한누리대로 2012 코끼리타워 401호402호 (소담동),044-867-8867,2022-11-15,소담동
112,서울삼성이비인후과의원,의원,세종특별자치시 한누리대로 275 형성프라자 401호402호 (나성동),044-864-1864,2022-11-15,나성동
113,정마취통증의학과의원,의원,세종특별자치시 한누리대로 2016 타임빌딩 401호402호 (소담동),044-905-3300,2022-11-15,소담동
114,미애로여성의원,의원,세종특별자치시 한누리대로 253 에스빌딩 603호604호 (나성동),044-863-7475,2022-11-15,나성동
115,서울굿닥터(새롬)의원,의원,세종특별자치시 새롬중앙로 55 3층 (새롬동 행운빌딩),044-867-9933,2022-11-15,새롬동
116,고운소아청소년과의원,의원,세종특별자치시 남세종로 454 405호 (보람동 강남제일타워),044-868-9545,2022-11-15,보람동
117,소담튼튼소아청소년과의원,의원,세종특별자치시 한누리대로 2016 404호405호 (소담동 타임빌딩),044-868-8276,2022-11-15,소담동
118,새롬정형외과의원,의원,세종특별자치시 새롬중앙로 34 415호416호417호 (새롬동 크리스마스빌딩),044-998-3369,2022-11-15,새롬동
119,드림내과의원,의원,세종특별자치시 새롬중앙로 55 401호402호403호 (새롬동 행운빌딩),044-715-7582,2022-11-15,새롬동
120,드림이비인후과의원,의원,세종특별자치시 남세종로 458 403호 (보람동 아리랑빌딩),044-865-1275,2022-11-15,보람동
121,세종드림연합의원,의원,세종특별자치시 한누리대로 2264 3층 (대평동 씨티오브드림),1577-4713,2022-11-15,대평동
122,제일연합내과의원,의원,세종특별자치시 새롬중앙로 62-15 401호402(일부)호 (새롬동 해피라움W),044-715-5501,2022-11-15,새롬동
123,힘내라신경외과의원,의원,세종특별자치시 새롬중앙로 67 503호504호505호506호 (새롬동 오렌지빌딩),044-417-6881,2022-11-15,새롬동
124,이안정신건강의학과의원,의원,세종특별자치시 한누리대로 273 307호402호606~607호706~707호호 (나성동),044-999-1102,2022-11-15,나성동
125,우리연합의원,의원,세종특별자치시 남세종로 454 404호 (보람동 강남제일타워),044-867-7803,2022-11-15,보람동
126,튼튼메디칼의원코뿔소한의원,의원,세종특별자치시 절재로 194 512호 (어진동 중앙타운),044-864-8375,2022-11-15,어진동
127,무지개소아청소년과의원,의원,세종특별자치시 소담1로 16 406호 (소담동 지엘플렉스2),044-862-0507,2022-11-15,소담동
128,소담내과의원,의원,세종특별자치시 한누리대로 2016 302~309호 (소담동 타임빌딩),044-863-4100,2022-11-15,소담동
129,오라클피부과의원,의원,세종특별자치시 한누리대로 245 404~405호 (나성동 에스알파크원),044-868-0075,2022-11-15,나성동
130,세종연세소아청소년과의원,의원,세종특별자치시 새롬중앙로 47 402~403호 (새롬동 세움빌딩),044-867-9393,2022-11-15,새롬동
131,이유경내과의원,의원,세종특별자치시 대평4길 17 센트럴테라스 306~313호 (대평동),044-868-0261,2022-11-15,대평동
132,세종가톨릭정형외과의원,의원,세종특별자치시 도움1로 106 401~402호405~408호416호 (종촌동 메가시티),044-867-7171,2022-11-15,종촌동
133,상쾌한이비인후과의원,의원,세종특별자치시 새롬중앙로 59 403호 (새롬동 새롬빌딩),044-862-7584,2022-11-15,새롬동
134,더블유성형외과의원,의원,세종특별자치시 한누리대로 245 401호 (나성동 에스알파크원),044-863-6673,2022-11-15,나성동
135,소리숨이비인후과의원,의원,세종특별자치시 나성로 96 더센트럴 421호 (나성동),044-868-1177,2022-11-15,나성동
136,두미소신경과의원,의원,세종특별자치시 한누리대로 249 408~410호 (나성동 에스제이타워),044-867-6119,2022-11-15,나성동
